Age,Gender,Current Weight (lbs),BMR (Calories),Daily Calories Consumed,Daily Caloric Surplus/Deficit,Weight Change (lbs),Duration (weeks),Physical Activity Level,Sleep Quality,Stress Level,Final Weight (lbs),Daily_Weight_Change
38,M,201.8,1793.1,3144.2,51.2,1.126,11,Very Active,Poor,1,203.0,0.014622716813527665
42,M,134.0,1465.2,2065.6,50.9,0.611,6,Lightly Active,Poor,9,134.6,0.01453913221711673
25,M,155.6,1648.2,2656.7,678.8,10.861,8,Sedentary,Excellent,5,166.4,0.1939517348615022
58,M,148.8,1452.3,2483.1,486.2,10.697,11,Lightly Active,Excellent,9,159.5,0.13892706010393904
48,M,119.7,1370.6,2116.9,472.2,4.722,5,Sedentary,Poor,5,124.4,0.13492749130308324
29,F,156.6,1466.7,3145.9,872.5,6.98,4,Moderately Active,Poor,5,163.6,0.24929682458104968
60,M,171.4,1544.8,2079.4,-585.4,-7.025,6,Very Active,Excellent,3,164.3,-0.16725069050452618
19,M,202.2,1889.6,2089.4,-839.5,-15.111,9,Moderately Active,Excellent,5,187.1,-0.23985031439241838
25,M,156.1,1650.6,2122.7,-724.6,-15.941,11,Very Active,Good,5,140.2,-0.2070208635982764
59,M,148.4,1445.4,2457.2,469.7,9.395,10,Lightly Active,Fair,1,157.8,0.1342103277624716
18,F,159.3,1533.9,1899.6,58.9,0.589,5,Sedentary,Fair,6,159.9,0.016834897939349374
18,M,211.2,1935.3,2854.3,531.9,8.511,8,Sedentary,Good,5,219.7,0.1519824350954979
31,M,174.8,1705.4,1646.8,-698.2,-12.567,9,Lightly Active,Fair,3,162.2,-0.19947636102961008
43,M,142.1,1497.0,1595.1,-725.3,-7.253,5,Moderately Active,Fair,1,134.8,-0.20722868817789497
18,F,102.3,1275.5,2474.2,497.1,5.965,6,Moderately Active,Excellent,4,108.3,0.14202455215775722
49,M,190.4,1686.2,2924.6,310.9,4.975,8,Moderately Active,Good,6,195.4,0.08883952076426274
23,F,179.6,1601.2,3521.8,759.7,10.636,7,Very Active,Good,5,190.3,0.21705534988591185
23,M,160.4,1680.2,2420.9,-477.5,-4.775,5,Very Active,Excellent,9,155.7,-0.13642150314079235
61,M,173.1,1547.5,2175.0,47.2,0.944,10,Lightly Active,Good,7,174.0,0.0134893103421152
55,F,112.9,1138.7,1248.5,-715.7,-8.588,6,Very Active,Poor,2,104.3,-0.20448782414763889
30,F,142.7,1398.7,2384.3,705.8,9.881,7,Sedentary,Poor,1,152.6,0.20166221523231986
30,M,144.3,1572.1,2275.1,113.5,1.589,7,Lightly Active,Good,4,145.9,0.032434326792553425
23,M,129.7,1540.8,2232.4,113.7,1.592,7,Lightly Active,Fair,2,131.3,0.03249945595350917
27,M,182.3,1759.2,3195.9,469.1,9.381,10,Moderately Active,Poor,7,191.6,0.13401801132064728
57,F,190.2,1479.1,2671.9,120.5,1.446,6,Very Active,Fair,7,191.6,0.03442962561731968
60,M,225.0,1788.2,2970.3,824.5,19.787,12,Sedentary,Excellent,8,244.8,0.23556290486609785
35,M,185.7,1734.7,1323.8,-757.9,-12.126,8,Sedentary,Poor,4,173.6,-0.21653431376428983
18,M,161.8,1711.6,2789.3,-163.3,-2.286,7,Very Active,Poor,4,159.6,-0.04666130632467502
28,F,193.5,1639.3,2220.0,-34.0,-0.681,10,Lightly Active,Fair,7,192.8,-0.009726067906399424
36,M,186.4,1733.2,3338.7,349.0,4.885,7,Very Active,Excellent,6,191.3,0.09970378923617863
20,F,161.2,1532.6,2243.0,135.7,2.442,9,Lightly Active,Good,11,163.6,0.03876300429846924
18,F,214.8,1786.0,2230.4,-850.4,-18.71,11,Very Active,Good,10,196.1,-0.2429822008479002
31,M,192.4,1785.2,3070.2,303.2,3.032,5,Moderately Active,Excellent,4,195.4,0.086614491138106
20,M,177.1,1770.9,2045.2,-389.7,-9.353,12,Lightly Active,Poor,5,167.8,-0.11134622039386743
21,F,190.2,1659.3,1886.2,-104.9,-1.049,5,Sedentary,Excellent,9,189.2,-0.029983974098179
35,F,157.4,1440.4,3261.0,776.3,17.079,11,Very Active,Excellent,3,174.5,0.22181127576676082
60,M,146.5,1432.2,1718.6,-0.1,-0.002,12,Sedentary,Excellent,5,146.5,-1.9517458558896448e-05
36,F,234.1,1783.5,2993.0,-83.5,-0.668,4,Very Active,Fair,6,233.5,-0.023854629968541954
32,F,184.4,1577.8,3134.1,412.4,4.124,5,Very Active,Fair,10,188.5,0.11782524202257992
18,M,219.2,1971.9,2383.9,17.6,0.423,12,Sedentary,Excellent,3,219.6,0.005037938277489567
25,F,178.3,1585.4,2274.8,-182.6,-3.652,10,Moderately Active,Fair,3,174.7,-0.0521674942666541
56,M,162.3,1523.7,2037.9,-57.2,-0.572,5,Lightly Active,Fair,3,161.7,-0.016332128398316204
32,M,169.8,1677.8,2945.6,51.3,0.923,9,Very Active,Good,9,170.8,0.014657938568646386
48,F,163.6,1403.6,2187.4,503.1,6.038,6,Sedentary,Poor,4,169.6,0.14375095854509157
59,M,183.2,1603.6,3272.5,786.9,7.869,5,Moderately Active,Poor,6,191.1,0.22482817403101826
32,F,170.7,1516.0,1492.9,-326.3,-4.568,7,Sedentary,Excellent,1,166.2,-0.0932239329701354
19,F,103.0,1273.5,1757.2,6.2,0.148,12,Lightly Active,Poor,9,103.1,0.001758124486228423
54,F,169.4,1400.0,1236.9,-688.1,-11.01,8,Lightly Active,Fair,10,158.4,-0.1966115140801286
21,M,194.0,1842.5,2143.7,-67.2,-0.672,5,Sedentary,Fair,4,193.3,-0.019208607270703525
43,M,191.6,1721.4,2765.5,97.3,1.946,10,Moderately Active,Fair,12,193.5,0.027806594916528152
28,F,107.0,1246.7,2749.1,598.5,14.364,12,Very Active,Fair,8,121.3,0.17100401014176467
26,F,183.2,1602.3,1754.4,-168.4,-2.021,6,Sedentary,Fair,1,181.1,-0.048122627879375095
49,M,201.3,1735.5,1889.6,-496.8,-7.948,8,Lightly Active,Fair,8,193.3,-0.14192912662998164
51,M,202.2,1729.7,3236.7,555.7,12.225,11,Moderately Active,Fair,5,214.4,0.15876275535137926
41,F,196.7,1588.9,1640.8,-822.0,-14.796,9,Moderately Active,Poor,9,181.9,-0.23486351572395292
56,F,149.8,1301.1,2563.9,774.9,6.199,4,Lightly Active,Excellent,10,156.0,0.22139619922796028
52,F,156.2,1350.2,2873.4,780.7,9.368,6,Moderately Active,Excellent,3,165.6,0.22304502438208626
33,F,152.2,1427.0,2532.8,71.2,1.567,11,Very Active,Excellent,11,153.8,0.020353013942336993
33,M,190.4,1766.1,2279.4,-767.1,-13.808,9,Very Active,Fair,4,176.6,-0.21917406402974834
42,M,188.9,1714.4,2470.2,-187.0,-2.245,6,Moderately Active,Poor,3,186.7,-0.053441677259466684
48,M,169.7,1597.1,2953.8,757.9,9.094,6,Lightly Active,Fair,5,178.8,0.21652876659404227
21,M,258.0,2132.9,2838.8,-467.2,-4.672,5,Moderately Active,Excellent,9,253.4,-0.13348967422282476
37,F,182.5,1544.3,3196.1,532.2,12.773,12,Very Active,Excellent,1,195.3,0.1520549794353023
18,M,158.8,1698.0,2416.3,81.6,1.143,7,Lightly Active,Fair,6,160.0,0.023318606995065758
46,M,198.7,1738.9,2313.9,-381.4,-3.814,5,Moderately Active,Poor,1,194.9,-0.10898201446809046
56,F,158.0,1338.0,2286.0,-22.0,-0.22,5,Very Active,Fair,2,157.7,-0.00627300654371941
56,F,141.9,1265.2,1759.7,20.0,0.32,8,Lightly Active,Fair,7,142.2,0.005713959712787463
25,M,134.7,1553.3,2850.4,170.9,2.051,6,Very Active,Fair,9,136.7,0.04883708076836319
42,F,176.5,1492.0,2153.1,-420.6,-5.047,6,Very Active,Good,7,171.4,-0.12016806363046037
70,M,193.8,1596.4,1842.0,-632.4,-11.383,9,Moderately Active,Poor,6,182.4,-0.18068938924450204
25,M,148.2,1614.8,3137.2,351.7,5.628,8,Very Active,Poor,3,153.8,0.10049408256890274
57,F,165.7,1368.1,2882.0,761.5,7.615,5,Moderately Active,Good,1,173.3,0.21757106577851962
18,M,162.8,1716.0,2929.4,570.0,13.68,12,Lightly Active,Fair,7,176.5,0.16285277068508497
40,M,135.5,1482.2,2668.9,112.1,1.345,6,Very Active,Good,2,136.9,0.03203004901009236
51,M,168.5,1576.8,3265.0,820.9,8.209,5,Moderately Active,Good,1,176.7,0.2345505647004667
21,M,244.8,2072.7,2356.4,-493.6,-6.91,7,Lightly Active,Fair,1,237.9,-0.14102755734078098
24,M,98.5,1394.2,1817.2,-99.8,-2.394,12,Lightly Active,Fair,3,96.1,-0.028502250402057273
60,M,154.3,1467.2,3199.6,668.7,6.687,5,Very Active,Good,1,160.9,0.1910448477099769
26,M,189.9,1798.8,2428.2,-674.7,-12.144,9,Very Active,Excellent,4,177.7,-0.19276786070291407
33,F,212.7,1701.3,1200.0,-841.6,-13.465,8,Sedentary,Good,7,199.2,-0.2404546387328024
38,F,136.9,1332.7,2383.8,318.2,7.636,12,Moderately Active,Fair,3,144.6,0.09090615404253094
22,M,194.4,1839.5,3312.1,782.8,15.656,10,Lightly Active,Fair,9,210.1,0.22366082643698285
41,M,177.4,1667.2,2248.3,-335.9,-7.391,11,Moderately Active,Poor,5,170.0,-0.09598509136022897
44,F,174.4,1472.5,2786.5,504.1,6.049,6,Moderately Active,Fair,3,180.4,0.14403301171744753
54,F,168.3,1395.1,2062.5,144.3,2.886,10,Lightly Active,Good,5,171.2,0.04123169894335147
47,M,179.5,1646.6,2627.8,363.7,5.092,7,Lightly Active,Poor,12,184.6,0.10391724576155957
37,F,158.8,1436.7,1275.3,-448.8,-4.488,5,Sedentary,Excellent,4,154.3,-0.12821466557580782
19,M,205.4,1904.3,2764.1,145.7,2.913,10,Lightly Active,Good,7,208.3,0.04161872575570643
18,M,194.8,1860.9,3383.6,173.5,3.123,9,Very Active,Good,8,197.9,0.04957160402850345
26,M,245.4,2050.4,4000.0,463.0,10.186,11,Very Active,Fair,5,255.5,0.13228947888789325
36,F,152.5,1413.3,1323.4,-867.1,-20.811,12,Moderately Active,Poor,10,131.7,-0.24775419498329782
33,F,121.5,1287.8,1709.6,-511.7,-4.094,4,Very Active,Fair,6,117.4,-0.1462105866610895
28,F,169.8,1531.6,3179.7,805.7,17.726,11,Moderately Active,Fair,1,187.5,0.23020279661365073
31,F,156.4,1455.9,1719.5,-27.6,-0.442,8,Sedentary,Fair,3,156.0,-0.007893969217423935
56,F,157.1,1334.0,2608.1,540.3,12.968,12,Moderately Active,Good,1,170.1,0.15438542074538691
36,M,134.8,1498.9,2405.1,344.1,8.259,12,Lightly Active,Poor,1,143.1,0.09831972852734426
34,F,141.1,1371.4,1935.0,49.3,0.493,5,Lightly Active,Good,5,141.6,0.014084751844745565
30,M,201.2,1830.0,2972.9,776.9,13.985,9,Sedentary,Fair,8,215.1,0.2219823820081622
29,F,187.1,1605.3,2163.7,-605.5,-14.531,12,Very Active,Excellent,10,172.6,-0.17299243135288841
32,F,164.1,1486.0,1200.0,-583.2,-12.83,11,Sedentary,Poor,8,151.3,-0.16661886756104735
57,M,163.1,1522.4,3235.5,609.3,10.967,9,Very Active,Fair,6,174.1,0.17408669693952925
34,M,206.3,1833.3,3832.3,669.9,10.718,8,Very Active,Fair,4,217.0,0.19140008356654561
33,F,117.4,1269.1,1887.1,-80.1,-0.641,4,Moderately Active,Fair,6,116.8,-0.022881078315724154
32,M,123.0,1465.5,2207.0,192.0,3.071,8,Lightly Active,Excellent,10,126.1,0.05484548927761852
41,F,167.4,1455.6,1562.9,-693.4,-9.707,7,Moderately Active,Excellent,4,157.7,-0.19810130951605184
40,F,185.8,1544.1,1715.9,-677.4,-13.548,10,Moderately Active,Good,9,172.2,-0.19354718419634803
47,F,144.4,1321.6,1410.9,-868.9,-8.689,5,Very Active,Good,4,135.7,-0.24826374356302314
61,M,176.3,1562.1,2425.8,551.3,11.025,10,Sedentary,Good,9,187.3,0.1575051939718612
28,M,208.2,1871.8,3568.2,666.9,14.672,11,Moderately Active,Excellent,4,222.9,0.19053909598144583
53,F,149.3,1313.7,2902.6,636.5,14.004,11,Very Active,Poor,2,163.3,0.18186630392719533
37,M,97.3,1323.9,1804.2,-16.1,-0.387,12,Lightly Active,Fair,2,96.9,-0.004609882054904379
39,F,167.8,1467.8,2165.3,147.1,2.353,8,Lightly Active,Poor,10,170.2,0.042017646109142076
56,M,125.7,1357.8,2253.9,-88.4,-1.414,8,Very Active,Good,6,124.3,-0.025256411894656335
29,F,173.4,1543.2,2203.8,82.0,1.803,11,Lightly Active,Fair,2,175.2,0.023417249924181045
20,M,169.3,1735.5,3550.3,860.2,13.764,8,Moderately Active,Fair,9,183.1,0.24577720710356582
57,F,144.3,1270.9,2151.0,625.9,12.518,10,Sedentary,Fair,7,156.8,0.17883272176941917
44,F,114.6,1201.5,1600.0,-472.6,-4.726,5,Very Active,Fair,7,109.9,-0.1350223442767097
33,F,135.1,1349.3,2839.7,748.4,10.478,7,Moderately Active,Good,4,145.6,0.21382945709451515
44,M,231.3,1896.9,2686.7,78.5,0.942,6,Lightly Active,Excellent,7,232.3,0.022419577216779674
44,M,174.1,1637.2,2122.2,-701.9,-16.846,12,Very Active,Good,8,157.2,-0.20054296541024633
48,M,155.9,1534.5,2099.0,-548.0,-12.056,11,Very Active,Excellent,6,143.8,-0.15656594846541572
48,M,171.8,1606.8,2141.6,-630.2,-7.563,6,Very Active,Poor,7,164.3,-0.18006043984793438
32,M,126.4,1480.8,2715.0,419.7,6.715,8,Moderately Active,Fair,3,133.1,0.119906738514446
52,F,186.6,1487.7,2890.4,844.8,8.448,5,Lightly Active,Good,5,195.0,0.24136062149753526
62,M,208.1,1701.5,1911.8,-130.0,-1.56,6,Sedentary,Excellent,4,206.6,-0.03713545423074707
37,M,173.9,1671.3,2465.0,-125.5,-2.008,8,Moderately Active,Excellent,2,171.9,-0.03585009920885841
18,M,165.9,1730.1,1414.5,-661.7,-11.91,9,Sedentary,Fair,4,154.0,-0.1890485083724354
21,M,215.7,1940.8,3025.6,17.3,0.381,11,Moderately Active,Good,4,216.1,0.004948626692225714
32,F,208.6,1687.7,1830.6,-785.3,-14.135,9,Moderately Active,Good,8,194.5,-0.22436809341308916
48,F,181.7,1485.9,3034.3,731.2,5.849,4,Moderately Active,Fair,9,187.6,0.2089025440210093
32,M,193.7,1786.1,3210.3,754.4,9.052,6,Lightly Active,Poor,3,202.8,0.21553418575843897
27,M,209.2,1881.6,3268.6,352.0,3.52,5,Moderately Active,Good,10,212.8,0.10058361768828958
20,M,172.3,1749.1,3878.7,861.5,6.892,4,Very Active,Fair,9,179.2,0.24614149491452372
52,M,183.6,1640.5,1790.5,-752.3,-13.541,9,Moderately Active,Fair,4,170.1,-0.21492971173396408
54,M,141.5,1439.2,1211.4,-515.7,-7.22,7,Sedentary,Excellent,2,134.3,-0.14735178695334103
35,M,153.6,1589.0,2302.7,395.8,9.5,12,Sedentary,Fair,1,163.1,0.1130943128961537
47,M,166.5,1587.7,2769.6,864.4,15.559,9,Sedentary,Good,10,182.0,0.2469661069278687
20,M,183.8,1801.0,3098.1,-8.7,-0.192,11,Very Active,Fair,3,183.6,-0.0024934971731172483
46,M,190.7,1702.5,2803.9,165.1,3.963,12,Moderately Active,Good,8,194.7,0.04717678723235479
19,M,181.5,1795.9,3136.2,38.3,0.383,5,Very Active,Poor,1,181.9,0.010950224632139778
55,F,149.9,1306.5,1200.0,-596.5,-4.772,4,Lightly Active,Good,6,145.1,-0.17042149091677708
30,M,144.8,1574.5,1903.2,-812.7,-17.879,11,Very Active,Excellent,4,127.0,-0.23219760126770592
40,F,146.2,1364.6,2349.4,-4.5,-0.107,12,Very Active,Poor,7,146.1,-0.0012768037907211953
37,F,182.9,1546.1,2463.2,607.9,13.375,11,Sedentary,Excellent,1,196.3,0.1736996302631386
35,F,162.3,1462.8,2190.5,-76.7,-0.614,4,Moderately Active,Poor,6,161.7,-0.021923478396211327
39,F,178.6,1516.8,2183.9,98.3,0.983,5,Lightly Active,Excellent,4,179.6,0.02809194089506465
20,M,171.1,1743.6,3040.9,338.3,2.706,4,Moderately Active,Excellent,7,173.8,0.09664455636207134
65,F,167.3,1335.2,1524.3,-545.3,-6.544,6,Moderately Active,Poor,4,160.7,-0.15580576042615688
34,M,162.5,1634.6,2200.6,-47.0,-0.94,10,Lightly Active,Poor,7,161.6,-0.013430900702700326
30,M,194.0,1797.5,2221.7,64.7,1.553,12,Sedentary,Good,3,195.6,0.01849057578576776
37,F,146.2,1379.5,1200.0,-696.7,-13.935,10,Lightly Active,Good,1,132.2,-0.19907029770617815
18,M,250.4,2113.1,3747.6,102.5,1.64,8,Very Active,Poor,6,252.0,0.02927764741244937
33,M,201.1,1814.8,3607.0,794.0,11.116,7,Moderately Active,Poor,2,212.2,0.22686178926442024
51,F,142.7,1293.6,1365.7,-413.1,-4.131,5,Lightly Active,Excellent,9,138.5,-0.11802522021201295
18,M,170.7,1751.6,3576.7,861.7,6.894,4,Moderately Active,Good,8,177.5,0.2462122166375049
28,F,124.4,1325.7,1630.5,-656.4,-14.44,11,Very Active,Excellent,5,109.9,-0.18753328242503267
40,M,175.6,1664.1,2831.5,-39.1,-0.547,7,Very Active,Good,8,175.1,-0.01116967419303923
23,M,180.3,1770.1,1228.0,-896.1,-12.545,7,Sedentary,Fair,8,167.7,-0.2560257327845225
27,M,180.4,1750.9,1581.7,-825.8,-19.818,12,Lightly Active,Good,3,160.6,-0.23592999808693835
34,M,142.9,1545.5,2059.0,-336.6,-4.039,6,Moderately Active,Poor,1,138.8,-0.09616416636115926
34,M,161.8,1631.3,2021.8,-506.6,-10.133,10,Moderately Active,Fair,8,151.6,-0.14475682796101877
57,M,148.2,1454.7,2734.7,479.9,5.759,6,Moderately Active,Poor,8,153.9,0.1371237419032116
37,F,139.5,1349.2,2247.6,-79.7,-0.956,6,Very Active,Poor,3,138.5,-0.022772980709125996
27,M,163.5,1674.3,2889.8,880.7,21.136,12,Sedentary,Good,10,184.7,0.251620489465136
46,F,161.8,1405.5,1756.6,-422.0,-4.22,5,Moderately Active,Poor,5,157.6,-0.12057201138172358
18,M,168.1,1740.2,1658.0,-734.8,-10.287,7,Lightly Active,Excellent,7,157.9,-0.20992880782409176
27,M,178.4,1741.9,3058.1,663.0,5.304,4,Lightly Active,Excellent,9,183.8,0.18942333366562902
18,F,168.6,1576.3,2754.2,35.0,0.841,12,Very Active,Good,5,169.5,0.010009564437444949
35,F,136.0,1343.4,1238.1,-844.2,-13.508,8,Moderately Active,Excellent,6,122.5,-0.24120562757717406
18,M,209.5,1927.9,3510.5,184.8,1.848,5,Very Active,Poor,7,211.4,0.052808863555938196
68,M,165.4,1477.9,2630.9,81.5,1.63,10,Very Active,Good,4,167.1,0.023287838020080408
33,M,148.5,1576.2,2119.5,-47.7,-1.146,12,Lightly Active,Fair,12,147.4,-0.013638657785951702
32,F,150.5,1424.4,1350.8,-607.7,-13.369,11,Lightly Active,Poor,2,137.2,-0.17362569257550403
38,F,154.3,1411.4,1782.6,89.0,1.601,9,Sedentary,Good,10,155.9,0.025418694078488378
22,M,178.1,1765.2,2099.7,-327.4,-4.584,7,Lightly Active,Good,8,173.5,-0.09355121965390195
42,F,156.8,1402.6,1200.0,-483.1,-9.663,10,Sedentary,Fair,6,147.1,-0.13803726903208327
20,M,211.6,1927.4,2886.7,-438.0,-6.132,7,Very Active,Poor,1,205.5,-0.12514605017198807
59,M,223.5,1786.5,1663.5,-793.0,-17.445,11,Lightly Active,Poor,6,206.1,-0.2265586182329754
34,M,209.1,1846.2,3125.5,-59.1,-0.71,6,Very Active,Poor,2,208.4,-0.01689415219062929
55,M,192.7,1666.5,2891.6,16.9,0.135,4,Very Active,Excellent,4,192.8,0.004815640611583408
44,F,159.0,1402.7,1750.5,67.3,0.538,4,Sedentary,Poor,7,159.5,0.019224633530646056
33,F,127.9,1316.5,2163.5,-107.4,-1.289,6,Very Active,Excellent,6,126.6,-0.03069332661972047
41,F,166.2,1450.5,3026.0,523.9,11.526,11,Very Active,Poor,6,177.8,0.1496915473177392
18,M,194.5,1859.6,1600.6,-631.0,-5.048,4,Sedentary,Excellent,4,189.4,-0.1802817532990726
54,F,181.1,1453.1,2470.0,472.0,11.328,12,Lightly Active,Poor,8,192.5,0.13486089197713466
18,M,199.4,1881.9,2888.5,-357.8,-4.293,6,Very Active,Good,2,195.1,-0.10222523832881286
20,M,163.9,1710.8,3402.6,451.5,8.126,9,Very Active,Fair,12,172.0,0.128985976511088
31,F,140.1,1381.9,1266.3,-875.6,-19.263,11,Moderately Active,Good,10,120.8,-0.25016533613974806
44,M,199.7,1753.4,2227.8,-796.8,-7.968,5,Very Active,Excellent,7,191.7,-0.22766778492229384
49,M,162.8,1561.0,2399.5,526.3,11.579,11,Sedentary,Excellent,6,174.4,0.1503719260258778
39,M,159.5,1596.0,1748.2,-166.9,-3.339,10,Sedentary,Fair,10,156.2,-0.047693014570765496
60,F,115.6,1126.0,1518.9,167.7,2.347,7,Sedentary,Good,7,118.0,0.047903110336024186
23,M,175.1,1746.6,1852.7,-854.5,-13.672,8,Moderately Active,Excellent,9,161.4,-0.24414158856146853
19,M,159.5,1695.9,2851.2,-74.2,-1.039,7,Very Active,Good,4,158.4,-0.02120174934552558
34,M,109.4,1393.6,2079.9,-80.3,-1.124,7,Moderately Active,Poor,3,108.3,-0.022939784047901413
39,F,130.1,1296.6,2526.7,743.8,7.438,5,Lightly Active,Fair,6,137.5,0.21252774358640897
27,F,186.9,1614.1,1497.7,-439.3,-4.393,5,Sedentary,Fair,9,182.5,-0.125510400753372
49,F,159.1,1378.0,2066.5,-69.4,-1.111,8,Moderately Active,Poor,7,158.0,-0.019842668916816623
46,F,219.2,1666.0,1950.4,-631.8,-12.636,10,Moderately Active,Poor,4,206.6,-0.18052075284865435
52,F,152.8,1334.4,2366.1,64.3,0.643,5,Very Active,Fair,10,153.4,0.01836250371598583
60,M,182.3,1594.5,2583.3,-167.2,-2.006,6,Very Active,Poor,3,180.3,-0.04776708460878308
54,F,142.9,1279.9,2134.5,-73.3,-0.733,5,Very Active,Excellent,3,142.2,-0.020951059579253004
21,M,197.9,1860.1,2210.0,-22.1,-0.354,8,Sedentary,Excellent,5,197.5,-0.006315901143280566
30,M,157.8,1633.2,2258.6,-558.6,-13.406,12,Very Active,Poor,7,144.4,-0.15959648845303528
27,M,225.5,1955.5,1834.2,-512.3,-5.123,5,Sedentary,Fair,2,220.4,-0.14638530640204434
23,M,177.8,1759.1,2178.3,-548.3,-5.483,5,Moderately Active,Good,8,172.3,-0.1566531548173933
40,F,133.4,1306.5,2121.6,-132.2,-2.115,8,Very Active,Fair,9,131.3,-0.03777122911483899
25,F,173.0,1561.4,2484.8,338.0,6.759,10,Lightly Active,Fair,2,179.8,0.09656008290462081
18,M,194.1,1857.7,2109.9,-769.6,-13.853,9,Moderately Active,Fair,7,180.2,-0.21988570699979754
33,M,134.2,1511.3,2605.2,-1.7,-0.024,7,Very Active,Poor,4,134.2,-0.00047972151738719863
26,M,136.4,1556.1,1563.3,-304.1,-6.081,10,Sedentary,Fair,5,130.3,-0.08687440618722368
48,M,165.4,1577.8,2377.3,-68.2,-1.227,9,Moderately Active,Poor,3,164.2,-0.01948094671094168
49,F,97.9,1100.7,1236.7,-661.9,-9.267,7,Very Active,Poor,1,88.7,-0.1891219317239679
57,F,186.1,1460.5,1469.3,-538.9,-9.701,9,Lightly Active,Fair,11,176.4,-0.1539839284361157
37,M,161.4,1614.4,2615.1,112.8,2.03,9,Moderately Active,Poor,2,163.4,0.03222564224040876
40,M,166.2,1621.5,2186.7,-42.8,-0.428,5,Lightly Active,Good,11,165.8,-0.012235985172633133
47,F,165.0,1415.1,2461.1,20.0,0.441,11,Very Active,Good,1,165.5,0.005725617942568273
33,M,194.5,1784.8,2899.0,132.5,1.325,5,Moderately Active,Poor,2,195.8,0.037860778138326945
38,M,173.2,1663.2,2096.3,-481.7,-7.707,8,Moderately Active,Good,4,165.5,-0.13762845300183277
44,M,200.2,1755.8,2551.1,-170.4,-3.749,11,Moderately Active,Poor,10,196.5,-0.04868969879059556
37,M,191.2,1750.0,3486.9,774.4,13.94,9,Moderately Active,Excellent,8,205.2,0.22126644292273015
63,M,161.4,1484.6,1844.5,63.0,1.135,9,Sedentary,Good,9,162.5,0.018011616523516034
45,M,180.9,1662.9,2682.5,687.0,13.74,10,Sedentary,Fair,6,194.6,0.19629106352687548
44,M,153.5,1543.9,2033.9,-359.2,-5.028,7,Moderately Active,Good,10,148.5,-0.10261826718543898
18,F,202.4,1729.6,3258.7,577.8,13.868,12,Moderately Active,Good,6,216.3,0.16509655003761678
62,F,159.4,1314.5,1800.5,-6.9,-0.11,8,Lightly Active,Poor,6,159.3,-0.001969018915253595
57,M,197.2,1677.1,1200.0,-812.5,-9.75,6,Sedentary,Fair,7,187.5,-0.23214551134721062
28,M,214.5,1900.4,3383.7,770.6,18.493,12,Lightly Active,Poor,1,233.0,0.22016057100491943
30,F,199.4,1656.1,2840.0,562.9,12.384,11,Lightly Active,Fair,4,211.8,0.16082844656109033
38,M,163.3,1618.2,1200.0,-741.8,-7.418,5,Sedentary,Excellent,3,155.9,-0.21194884300341235
53,M,146.5,1467.1,2723.6,706.3,8.475,6,Lightly Active,Good,2,155.0,0.20179531420986588
59,M,212.5,1736.6,3494.1,498.6,9.972,10,Very Active,Poor,7,222.5,0.1424553695234004
51,M,130.6,1404.8,2475.2,51.9,0.623,6,Very Active,Poor,7,131.2,0.014829750728991842
41,M,194.0,1742.7,2032.7,-668.5,-9.358,7,Moderately Active,Poor,12,184.7,-0.19098976069232912
19,M,115.0,1494.2,3038.9,722.8,10.12,7,Moderately Active,Fair,6,125.1,0.2065261055930974
51,F,170.5,1420.0,2483.7,779.7,18.713,12,Sedentary,Good,5,189.2,0.22277183260915023
18,M,205.6,1910.3,2052.1,-574.5,-9.192,8,Lightly Active,Poor,9,196.4,-0.16415150094963182
18,M,198.1,1875.9,3246.1,666.8,6.668,5,Lightly Active,Fair,7,204.7,0.19051001505240037
27,M,219.5,1927.9,2697.9,46.9,0.751,8,Lightly Active,Excellent,8,220.2,0.013412877638448532
20,M,227.9,2001.0,3008.6,-443.1,-4.431,5,Very Active,Good,2,223.4,-0.12661246738950688
63,M,145.5,1412.5,1946.5,4.3,0.087,10,Lightly Active,Good,4,145.6,0.0012371279413898395
58,F,94.3,1039.2,2202.8,592.0,14.208,12,Moderately Active,Good,11,108.5,0.16914346554726567
25,M,194.1,1823.0,3528.8,384.2,6.915,9,Very Active,Poor,8,201.0,0.10976512030247951
47,F,107.6,1154.8,1566.5,180.7,3.976,11,Sedentary,Good,6,111.6,0.051639080055767665
42,F,111.5,1197.3,2251.0,185.5,4.453,12,Very Active,Poor,8,116.0,0.0530090387902788
20,M,165.8,1719.3,2631.2,-33.7,-0.742,11,Moderately Active,Poor,12,165.0,-0.009642235968672919
45,M,151.7,1530.5,2321.6,-318.5,-4.459,7,Very Active,Fair,7,147.2,-0.09100469239594375
29,M,119.6,1465.0,1200.0,-558.0,-6.697,6,Sedentary,Poor,10,112.9,-0.15944139393462806
24,F,137.9,1406.8,2548.4,367.9,3.679,5,Moderately Active,Fair,9,141.5,0.10512188490720395
24,F,165.8,1533.3,2862.4,754.1,16.59,11,Lightly Active,Good,3,182.3,0.21544907013213274
36,F,167.7,1482.2,1499.4,-798.0,-11.173,7,Moderately Active,Fair,3,156.5,-0.22801212283586392
18,M,195.9,1865.9,2748.2,509.1,5.091,5,Sedentary,Poor,6,200.9,0.1454703388838252
37,F,146.9,1382.9,1554.3,-105.2,-1.894,9,Sedentary,Poor,5,145.0,-0.030063307958093578
53,M,177.1,1605.7,3540.7,770.9,10.793,7,Very Active,Excellent,2,187.9,0.22025988170924315
